0, 0, 2411, 16.68
0, 0, 2411, 16.67
0, 0, 2411, 16.61
95, 0, 2496, 37.82
96, 0, 2496, 46.79
96, 0, 2496, 46.96
95, 0, 2489, 45.84
96, 0, 2496, 42.90
96, 0, 2496, 46.99
96, 0, 2496, 47.07
96, 0, 2496, 46.90
96, 0, 2496, 47.21
96, 0, 2496, 47.29
96, 0, 2496, 47.17
95, 0, 2476, 47.22
96, 0, 2476, 47.27
96, 0, 2476, 47.45
96, 0, 2476, 47.49
96, 0, 2476, 47.49
96, 0, 2476, 47.41
95, 0, 2476, 47.50
96, 0, 2476, 47.48
95, 0, 2476, 47.42
96, 0, 2476, 47.56
95, 0, 2476, 47.44
96, 0, 2476, 47.67
95, 0, 2476, 47.64
96, 0, 2476, 47.77
95, 0, 2476, 47.75
96, 0, 2476, 47.88
96, 0, 2476, 47.10
95, 0, 2470, 44.18
0, 0, 2411, 22.60
0, 0, 2411, 17.13
0, 0, 2411, 17.03
0, 0, 2411, 16.99
0, 0, 2411, 16.91
0, 0, 2411, 16.88
0, 0, 2411, 16.82
0, 0, 2411, 16.74
0, 0, 2411, 16.73
0, 0, 2411, 16.68
0, 0, 2411, 16.62
0, 0, 2411, 16.59
0, 0, 2411, 16.59
0, 0, 2411, 16.54
0, 0, 2411, 16.50
0, 0, 2411, 16.47
0, 0, 2411, 16.42
0, 0, 2411, 16.39
0, 0, 2411, 16.38
0, 0, 2411, 16.35
0, 0, 2411, 16.31
0, 0, 2411, 16.25
0, 0, 2411, 16.21
0, 0, 2411, 16.19
0, 0, 2411, 16.18
0, 0, 2411, 16.18
0, 0, 2411, 16.14
0, 0, 2411, 16.13
0, 0, 2411, 16.06
0, 0, 2411, 16.05
0, 0, 2411, 16.03
0, 0, 2411, 16.05
0, 0, 2411, 16.05
0, 0, 2405, 15.74
0, 0, 2405, 15.73
0, 0, 2405, 15.66
0, 0, 2405, 15.64
0, 0, 2405, 15.61
0, 0, 2405, 15.58
0, 0, 2405, 15.56
0, 0, 2405, 15.59
0, 0, 2405, 15.57
0, 0, 2405, 15.49
0, 0, 2405, 15.49
0, 0, 2405, 15.48
0, 0, 2405, 15.47
0, 0, 2405, 15.45
0, 0, 2405, 15.42
0, 0, 2405, 15.41
0, 0, 2405, 15.44
0, 0, 2405, 15.39
0, 0, 2405, 15.40
0, 0, 2405, 15.37
0, 0, 2405, 15.33
0, 0, 2405, 15.35
0, 0, 2405, 15.28
0, 0, 2405, 15.15
0, 0, 2405, 15.13
0, 0, 2405, 15.10
0, 0, 2405, 15.10
0, 0, 2405, 15.09
0, 0, 2405, 15.08
0, 0, 2405, 15.08
0, 0, 2405, 15.00
0, 0, 2405, 15.02
0, 0, 2405, 15.01
0, 0, 2405, 14.99
0, 0, 2405, 14.99
0, 0, 2405, 14.96
0, 0, 2405, 14.97
0, 0, 2405, 14.94
0, 0, 2405, 14.93
0, 0, 2405, 14.94
0, 0, 2405, 14.90
0, 0, 2405, 14.89
0, 0, 2405, 14.88
0, 0, 2405, 14.87
0, 0, 2405, 14.86
0, 0, 2405, 14.86
0, 0, 2405, 14.84
0, 0, 2405, 14.82
0, 0, 2405, 14.80
0, 0, 2405, 14.78
0, 0, 2405, 14.78
0, 0, 2405, 14.78
0, 0, 2405, 14.76
0, 0, 2405, 14.76
0, 0, 2405, 14.75
0, 0, 2405, 14.73
0, 0, 2405, 14.72
0, 0, 2405, 14.69
0, 0, 2405, 14.70
0, 0, 2405, 14.74
0, 0, 2405, 14.75
0, 0, 2405, 14.89
14, 0, 2405, 15.01
0, 0, 2405, 15.86
0, 0, 2405, 15.20
0, 0, 513, 12.92
0, 0, 208, 7.11
0, 0, 208, 7.08
0, 0, 208, 7.08
0, 0, 208, 6.39
0, 0, 208, 6.31
0, 0, 208, 6.18
0, 0, 208, 6.19
0, 0, 208, 6.15
0, 0, 208, 6.28
0, 0, 208, 6.16
0, 0, 208, 6.14
0, 0, 208, 6.16
0, 0, 208, 6.22
0, 0, 208, 6.27
0, 0, 208, 6.26
0, 0, 208, 6.23
0, 0, 208, 6.07
0, 0, 208, 6.12
0, 0, 208, 6.18
0, 0, 208, 6.18
0, 0, 208, 6.20
0, 0, 208, 6.12
0, 0, 208, 6.07
0, 0, 208, 6.08
0, 0, 208, 6.14
0, 0, 208, 6.11
0, 0, 208, 6.08
0, 0, 201, 6.11
0, 0, 208, 6.05
0, 0, 208, 6.06
0, 0, 208, 6.03
0, 0, 208, 6.02
0, 0, 208, 6.04
0, 0, 208, 6.13
0, 0, 208, 6.07
0, 0, 208, 6.05
0, 0, 208, 6.04
0, 0, 208, 6.01
0, 0, 208, 5.99
0, 0, 208, 5.99
0, 0, 208, 5.99
0, 0, 208, 6.05
0, 0, 208, 6.01
0, 0, 208, 6.02
0, 0, 208, 6.00
0, 0, 208, 6.00
0, 0, 208, 5.95
0, 0, 208, 6.04
0, 0, 208, 6.02
0, 0, 208, 5.99
0, 0, 208, 5.97
0, 0, 208, 6.01
0, 0, 208, 6.00
0, 0, 208, 5.97
0, 0, 208, 5.95
0, 0, 208, 5.96
0, 0, 208, 5.95
0, 0, 208, 5.98
0, 0, 208, 5.89
0, 0, 208, 5.96
0, 0, 208, 5.92
0, 0, 208, 5.91
0, 0, 208, 5.91
0, 0, 208, 5.94
0, 0, 208, 5.97
0, 0, 208, 5.97
0, 0, 208, 5.93
0, 0, 208, 5.90
0, 0, 208, 5.85
0, 0, 208, 5.86
0, 0, 208, 5.90
0, 0, 208, 5.94
0, 0, 208, 5.90
0, 0, 208, 5.87
0, 0, 208, 5.86
0, 0, 208, 5.86
0, 0, 208, 5.86
0, 0, 208, 5.90
0, 0, 208, 5.90
0, 0, 208, 5.95
0, 0, 208, 5.85
0, 0, 208, 5.85
0, 0, 208, 5.84
0, 0, 208, 5.86
0, 0, 208, 5.84
0, 0, 208, 5.85
0, 0, 208, 5.85
0, 0, 208, 5.89
0, 0, 208, 5.92
0, 0, 208, 5.88
0, 0, 208, 5.85
0, 0, 208, 5.99
0, 0, 208, 5.93
0, 0, 208, 5.85
0, 0, 208, 5.85
0, 0, 208, 5.84
0, 0, 208, 5.82
0, 0, 208, 5.82
0, 0, 208, 5.82
0, 0, 208, 5.83
0, 0, 208, 5.82
0, 0, 208, 5.85
0, 0, 208, 5.82
0, 0, 208, 5.82
0, 0, 208, 5.81
0, 0, 208, 5.85
0, 0, 208, 5.80
0, 0, 208, 5.82
0, 0, 208, 5.81
0, 0, 208, 5.86
0, 0, 208, 5.91
0, 0, 208, 5.90
0, 0, 208, 5.92
0, 0, 208, 5.84
0, 0, 208, 5.83
0, 0, 208, 5.84
0, 0, 227, 6.23
0, 0, 208, 6.04
0, 0, 208, 6.06
0, 0, 208, 5.90
0, 0, 2405, 9.31
0, 0, 2405, 13.77
0, 0, 695, 11.97
0, 0, 208, 6.64
0, 0, 208, 6.62
0, 0, 208, 6.62
0, 0, 208, 6.27
0, 0, 208, 6.19
0, 0, 208, 5.82
0, 0, 208, 6.00
0, 0, 208, 5.99
0, 0, 208, 5.80
0, 0, 208, 5.74
0, 0, 208, 5.75
0, 0, 208, 5.76
0, 0, 208, 5.77
0, 0, 208, 5.76
0, 0, 208, 5.76
0, 0, 208, 5.74
0, 0, 208, 5.74
0, 0, 208, 5.73
0, 0, 208, 5.73
0, 0, 208, 5.74
0, 0, 208, 5.80
0, 0, 208, 5.75
0, 0, 208, 5.71
0, 0, 208, 5.72
0, 0, 208, 5.71
0, 0, 208, 5.71
0, 0, 208, 5.75
0, 0, 208, 5.78
0, 0, 208, 5.74
0, 0, 208, 5.74
0, 0, 208, 5.94
0, 0, 208, 5.81
0, 0, 208, 5.84
0, 0, 208, 5.75
0, 0, 208, 5.84
0, 0, 208, 5.83
0, 0, 851, 6.28
0, 0, 858, 7.07
0, 0, 208, 6.87
0, 0, 208, 6.66
0, 0, 208, 6.67
0, 0, 208, 6.30
0, 0, 208, 6.30
0, 0, 208, 6.30
0, 0, 208, 6.25
0, 0, 208, 6.25
0, 0, 208, 6.07
0, 0, 208, 5.97
0, 0, 208, 6.01
0, 0, 208, 6.05
0, 0, 208, 5.95
0, 0, 208, 5.92
0, 0, 208, 5.95
0, 0, 208, 6.02
0, 0, 208, 6.05
0, 0, 208, 5.91
0, 0, 208, 5.91
0, 0, 208, 5.92
0, 0, 208, 6.16
0, 0, 208, 5.78
0, 0, 208, 5.77
0, 0, 208, 5.75
0, 0, 208, 5.74
0, 0, 208, 5.79
0, 0, 208, 5.87
0, 0, 208, 5.97
0, 0, 208, 5.96
0, 0, 208, 5.88
0, 0, 208, 5.83
0, 0, 208, 5.78
0, 0, 208, 5.71
0, 0, 208, 5.72
0, 0, 208, 5.72
0, 0, 208, 5.71
0, 0, 208, 5.74
0, 0, 208, 5.71
0, 0, 208, 5.76
0, 0, 208, 5.74
0, 0, 201, 5.72
